Destination,Origin,Flow
ABV,NRT,4318
ABV,NTE,1008
ABV,NUE,2739
ABV,OAK,1063
ABV,OKC,140
ABV,OPO,4372
ABV,ORD,678
ABV,ORF,2148
ABV,ORK,3683
ABV,ORY,891
ABV,OTP,4897
ABV,OVB,433
ABV,PAD,221
ABV,PEK,4879
ABV,PER,1889
ABV,PHC,153300
ABV,PHG,3522
ABV,PHL,525
ABV,PHX,830
ABV,PIK,187
ABV,PIT,3151
ABV,PMI,1637
ABV,PMO,547
ABV,POA,109
ABV,POM,699
ABV,POP,1595
ABV,POZ,3171
ABV,PRG,4991
ABV,PTY,2613
ABV,PUS,178
ABV,PVG,7882
ABV,PVR,547
ABV,QOW,10771
ABV,QRW,3597
ABV,RAK,1149
ABV,RDU,3295
ABV,RGN,739
ABV,RIX,1151
ABV,ROB,594
ABV,ROV,433
ABV,RUH,816
ABV,SAN,2547
ABV,SAW,5640
ABV,SCL,2268
ABV,SDF,144
ABV,SDQ,3171
ABV,SEA,818
ABV,SFB,225
ABV,SFO,2035
ABV,SGN,3171
ABV,SHA,106
ABV,SHE,858
ABV,SHJ,2091
ABV,SIN,15247
ABV,SJC,1316
ABV,SJO,2370
ABV,SJU,4830
ABV,SJW,612
ABV,SKG,3171
ABV,SKO,22451
ABV,SLC,328
ABV,SMF,1410
ABV,SOF,3718
ABV,SOU,1399
ABV,SPU,2355
ABV,SSA,3171
ABV,STL,1512
ABV,STN,838
ABV,STR,1246
ABV,SVG,3103
ABV,SVO,4579
ABV,SVQ,2554
ABV,SVX,1642
ABV,SWA,325
ABV,SXB,1149
ABV,SXF,1340
ABV,SYD,614
ABV,SYX,650
ABV,SZG,4101
ABV,SZX,132
ABV,TAO,447
ABV,TAS,674
ABV,TBS,1012
ABV,TFN,213
ABV,TFS,1034
ABV,THR,395
ABV,TIA,3171
ABV,TIP,840
ABV,TJM,390
ABV,TLL,2355
ABV,TLS,4295
ABV,TLV,1309
ABV,TML,135
ABV,TNA,582
ABV,TNR,547
ABV,TPA,1775
ABV,TPE,3171
ABV,TRD,1678
ABV,TRF,631
ABV,TRN,2068
ABV,TRZ,109
ABV,TSE,576
ABV,TSF,1107
ABV,TSN,472
ABV,TSR,620
ABV,TXL,5023
ABV,TYN,585
ABV,TYS,219
ABV,UET,169
ABV,URC,433
ABV,VCE,4782
ABV,VIE,8489
ABV,VKO,200
ABV,VLC,2197
ABV,VNO,2355
ABV,VRN,2461
ABV,VVO,364
ABV,WAW,2592
ABV,WNZ,506
ABV,WRO,3171
ABV,WUH,671
ABV,XIY,482
ABV,XMN,581
ABV,YEG,3162
ABV,YHZ,3171
ABV,YOW,3171
ABV,YQB,366
ABV,YUL,1594
ABV,YVR,1338
ABV,YWG,146
ABV,YXE,124
ABV,YYC,4903
ABV,YYZ,2629
ABV,ZAG,4948
ABV,ZRH,1968
ABZ,ABV,1760
ABZ,ACE,155
ABZ,ADE,225
ABZ,AGP,228
ABZ,ALC,157
ABZ,AMS,27649
ABZ,ARN,102
ABZ,ASB,108
ABZ,ATH,105
ABZ,ATL,102
ABZ,ATQ,1323
ABZ,AYT,173
ABZ,BCN,220
ABZ,BEG,119
ABZ,BEL,289
ABZ,BFS,159
ABZ,BGO,13351
ABZ,BHD,18100
ABZ,BHX,10833
ABZ,BHY,124
ABZ,BKK,334
ABZ,BKO,3382
ABZ,BOM,217
ABZ,BRS,7317
ABZ,BRU,113
ABZ,BTS,101
ABZ,BUD,153
ABZ,BZV,1473
ABZ,CAI,313
ABZ,CDG,28137
ABZ,CIA,165
ABZ,CMN,222
ABZ,COO,2741
ABZ,CPH,17339
ABZ,CWL,340
ABZ,DEL,216
ABZ,DLA,1765
ABZ,DUB,29673
ABZ,DXB,215
ABZ,EMA,13974
ABZ,EVN,182
ABZ,FCO,161
ABZ,FIH,2942
ABZ,FRU,144
ABZ,GOI,952
ABZ,GRQ,1703
ABZ,GVA,114
ABZ,HAM,169
ABZ,HEL,114
ABZ,HKG,106
ABZ,HRE,3637
ABZ,IST,195
ABZ,JIB,2942
ABZ,KBL,347
ABZ,KBP,235
ABZ,KEF,111
ABZ,KIN,151
ABZ,KIV,802
ABZ,KRK,165
ABZ,KUL,100
ABZ,LBA,10215
ABZ,LBD,472
ABZ,LED,161
ABZ,LFW,2942
ABZ,LGW,22693
ABZ,LHE,119
ABZ,LHR,70562
ABZ,LIS,173
ABZ,LPA,116
ABZ,LPL,15878
ABZ,LRM,320
ABZ,LTN,22221
ABZ,LUN,4143
ABZ,LXR,165
ABZ,MAD,210
ABZ,MAN,10766
ABZ,MBA,3839
ABZ,MEX,152
ABZ,MJV,105
ABZ,MLA,303
ABZ,MPM,818
ABZ,MUC,133
ABZ,MXP,182
ABZ,NAP,154
ABZ,NCE,162
ABZ,NCL,6827
ABZ,NRT,108
ABZ,NWI,2927
ABZ,ORN,121
ABZ,OTP,147
ABZ,OUA,2942
ABZ,PAP,487
ABZ,PEK,382
ABZ,PEW,332
ABZ,PMI,190
ABZ,PNH,235
ABZ,PRG,306
ABZ,PVG,140
ABZ,RAI,880
ABZ,RAK,166
ABZ,REP,159
ABZ,RIX,205
ABZ,RZE,166
ABZ,SIN,410
ABZ,SKG,135
ABZ,SOF,162
ABZ,SOU,3045
ABZ,SPU,136
ABZ,SVG,16053
ABZ,SXF,293
ABZ,SZG,115
ABZ,TFS,121
ABZ,TGD,191
ABZ,TIP,106
ABZ,TLV,208
ABZ,TRN,109
ABZ,TXL,143
ABZ,ULN,152
ABZ,VAR,326
ABZ,VCE,116
ABZ,VIE,182
ABZ,VLC,130
ABZ,VNO,135
ABZ,VTE,140
ABZ,WAW,133
ABZ,WIL,1058
ABZ,YIH,134
ABZ,YYZ,119
ABZ,ZNZ,151
ABZ,ZRH,172
ACA,ABJ,135
ACA,ABQ,608
ACA,ACC,774
ACA,ACT,103
ACA,ADD,143
ACA,AGA,101
ACA,AGU,316
ACA,ALA,149
ACA,AMM,819
ACA,AMS,852
ACA,ANC,698
ACA,ARN,311
ACA,ATH,518
ACA,ATL,1050
ACA,AUA,1208
ACA,AUH,491
ACA,AUS,780
ACA,BCN,567
ACA,BDL,670
ACA,BFS,435
ACA,BHM,611
ACA,BHX,208
ACA,BKK,161
ACA,BNA,1131
ACA,BOG,2626
ACA,BOM,1418
ACA,BOS,591
ACA,BRU,343
ACA,BTR,119
ACA,BUF,557
ACA,BWI,1272
ACA,CAI,170
ACA,CCS,2628
ACA,CDG,1555
ACA,CEN,275
ACA,CJS,946
ACA,CLE,413
ACA,CLT,518
ACA,CMN,125
ACA,CPH,481
ACA,CTU,109
ACA,CUL,1435
ACA,CUN,5647
ACA,CUU,791
ACA,CVG,413
ACA,DAM,105
ACA,DCA,795
ACA,DEL,3428
ACA,DEN,1937
ACA,DFW,12460
ACA,DGO,188
ACA,DKR,126
ACA,DME,392
ACA,DOH,250
ACA,DTW,1316
ACA,DUB,1169
ACA,DUS,319
ACA,DXB,836
ACA,EDI,132
ACA,EVN,447
ACA,EWR,2316
ACA,EZE,2272
ACA,FAT,121
ACA,FCO,619
ACA,FLL,294
ACA,FRA,616
ACA,GDL,18250
ACA,GIG,1302
ACA,GLA,688
ACA,GRR,526
ACA,GRU,3522
ACA,HAM,559
ACA,HAN,100
ACA,HAV,783
ACA,HEL,106
ACA,HKG,1246
ACA,HMO,134
ACA,HNL,625
ACA,HOU,557
ACA,IAD,765
ACA,IAH,44468
ACA,ICN,985
ACA,IND,1533
ACA,ISB,563
ACA,IST,553
ACA,JFK,1125
ACA,JNB,446
ACA,KBP,686
ACA,KEF,308
ACA,KHI,471
ACA,KRK,105
ACA,LAP,179
ACA,LAS,964
ACA,LAX,2207
ACA,LFT,127
ACA,LGA,981
ACA,LGW,680
ACA,LHE,673
ACA,LHR,2649
ACA,LIM,3536
ACA,LIS,395
ACA,LMM,373
ACA,LOS,1106
ACA,MAD,1077
ACA,MAN,319
ACA,MCI,900
ACA,MCO,1023
ACA,MDW,499
ACA,MEM,394
ACA,MEX,249819
ACA,MGA,400
ACA,MIA,404
ACA,MID,1564
ACA,MKE,1188
ACA,MLM,369
ACA,MNL,268
ACA,MOB,106
ACA,MSP,148
ACA,MSY,1788
ACA,MTT,122
ACA,MTY,15232
ACA,MUC,800
ACA,MXL,167
ACA,MXP,554
ACA,MZT,2152
ACA,NAS,435
ACA,NBO,112
ACA,NCL,183
ACA,NLD,103
ACA,NRT,2521
ACA,OAK,439
ACA,OAX,463
ACA,OKC,838
ACA,OPO,634
